Customer_ID,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
569,Female,No,0,Graduate,No,2378,0.0,9,360,1,Urban,N
15,Male,Yes,2,Graduate,No,1299,1086.0,17,120,1,Urban,Y
95,Male,No,0,Not Graduate,No,3620,0.0,25,120,1,Semiurban,Y
134,Male,Yes,0,Graduate,Yes,3459,0.0,25,120,1,Semiurban,Y
556,Male,Yes,1,Graduate,No,5468,1032.0,26,360,1,Semiurban,Y
148,Male,Yes,1,Graduate,No,1538,1425.0,30,360,1,Urban,Y
271,Female,No,0,Graduate,No,3237,0.0,30,360,1,Urban,Y
29,Male,No,0,Not Graduate,No,1442,0.0,35,360,1,Urban,N
583,Female,Yes,0,Graduate,No,3166,0.0,36,360,1,Semiurban,Y
510,Female,No,1,Graduate,No,13262,0.0,40,360,1,Urban,Y
611,Male,Yes,4,Graduate,No,4106,0.0,40,180,1,Rural,Y
232,Male,Yes,0,Graduate,No,3716,0.0,42,180,1,Rural,Y
47,Male,Yes,1,Graduate,No,5649,0.0,44,360,1,Urban,Y
122,Female,No,0,Graduate,No,4166,0.0,44,360,1,Semiurban,Y
401,Male,Yes,2,Not Graduate,No,2889,0.0,45,180,0,Urban,N
521,Male,Yes,2,Not Graduate,No,2192,1742.0,45,360,1,Semiurban,Y
342,Female,No,0,Graduate,No,2378,0.0,46,360,1,Rural,N
42,Male,No,0,Graduate,No,1800,1213.0,47,360,1,Urban,Y
191,Male,No,0,Not Graduate,No,4885,0.0,48,360,1,Rural,Y
85,Male,Yes,1,Graduate,No,3988,0.0,50,240,1,Urban,Y
98,Male,Yes,0,Graduate,No,1977,997.0,50,360,1,Semiurban,Y
155,Male,No,0,Graduate,No,3254,0.0,50,360,1,Urban,Y
437,Male,No,0,Graduate,No,1926,1851.0,50,360,1,Semiurban,Y
404,Female,No,0,Not Graduate,No,1963,0.0,53,360,1,Semiurban,Y
284,Female,No,0,Graduate,No,1811,1666.0,54,360,1,Urban,Y
208,Male,No,0,Not Graduate,No,3975,2531.0,55,360,1,Rural,Y
371,Female,No,0,Graduate,Yes,15759,0.0,55,360,1,Semiurban,Y
448,Male,Yes,0,Graduate,No,3539,1376.0,55,360,1,Rural,N
522,Male,No,0,Graduate,No,2500,0.0,55,360,1,Semiurban,Y
313,Female,No,0,Graduate,No,2507,0.0,56,360,1,Rural,Y
591,Male,Yes,0,Graduate,No,3000,3416.0,56,180,1,Semiurban,Y
188,Male,Yes,0,Graduate,No,2383,2138.0,58,360,1,Rural,Y
209,Male,No,0,Graduate,No,2479,0.0,59,360,1,Urban,Y
221,Male,Yes,0,Graduate,No,2221,0.0,60,360,0,Urban,N
416,Female,No,0,Graduate,No,2995,0.0,60,360,1,Urban,Y
430,Male,No,0,Not Graduate,No,2717,0.0,60,180,1,Urban,Y
452,Male,Yes,2,Not Graduate,No,1958,1456.0,60,300,1,Urban,Y
584,Male,Yes,1,Graduate,No,1880,0.0,61,360,1,Rural,N
411,Female,No,1,Not Graduate,Yes,3867,0.0,62,360,1,Semiurban,N
169,Male,No,0,Graduate,No,2237,0.0,63,480,0,Semiurban,N
402,Male,No,0,Not Graduate,No,2755,0.0,65,300,1,Rural,N
3,Male,Yes,0,Graduate,Yes,3000,0.0,66,360,1,Urban,Y
187,Male,Yes,1,Graduate,Yes,2178,0.0,66,300,0,Rural,N
408,Female,No,0,Not Graduate,No,2213,0.0,66,360,1,Rural,Y
539,Male,Yes,0,Not Graduate,No,2917,536.0,66,360,1,Rural,N
182,Male,No,0,Graduate,No,1916,5063.0,67,360,1,Rural,N
330,Female,No,0,Graduate,No,2500,0.0,67,360,1,Urban,Y
358,Male,Yes,1,Graduate,No,3875,0.0,67,360,1,Urban,N
11,Male,Yes,2,Graduate,No,3200,700.0,70,360,1,Urban,Y
133,Male,No,0,Graduate,No,2718,0.0,70,360,1,Semiurban,Y
147,Female,Yes,2,Graduate,No,14866,0.0,70,360,1,Urban,Y
336,Male,Yes,2,Graduate,Yes,5503,4490.0,70,360,1,Semiurban,Y
467,Male,Yes,4,Not Graduate,No,2947,1664.0,70,180,0,Urban,N
514,Male,Yes,0,Graduate,No,2130,6666.0,70,180,1,Semiurban,N
567,Male,No,0,Graduate,No,3333,0.0,70,360,1,Urban,Y
588,Female,No,0,Not Graduate,No,2165,0.0,70,360,1,Semiurban,Y
333,Male,No,0,Graduate,No,2833,0.0,71,360,1,Urban,Y
340,Female,No,0,Graduate,No,4160,0.0,71,360,1,Semiurban,Y
379,Male,No,0,Graduate,No,3069,0.0,71,480,1,Urban,N
397,Female,No,0,Graduate,No,3180,0.0,71,360,0,Urban,N
610,Female,No,0,Graduate,No,2900,0.0,71,360,1,Rural,Y
219,Male,Yes,2,Graduate,No,5000,0.0,72,360,0,Semiurban,N
183,Male,Yes,0,Graduate,No,4600,0.0,73,180,1,Semiurban,Y
32,Male,No,0,Graduate,No,3167,0.0,74,360,1,Urban,N
132,Male,No,0,Graduate,No,2014,1929.0,74,360,1,Urban,Y
344,Male,Yes,4,Not Graduate,No,3173,0.0,74,360,1,Semiurban,Y
43,Male,Yes,0,Graduate,No,2400,0.0,75,360,1,Urban,Y
165,Male,Yes,0,Graduate,No,9323,0.0,75,180,1,Urban,Y
490,Male,No,0,Graduate,No,2435,0.0,75,360,1,Urban,N
18,Female,No,0,Graduate,No,3510,0.0,76,360,0,Urban,N
194,Male,No,0,Graduate,No,3858,0.0,76,360,1,Semiurban,Y
283,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,Y
41,Male,No,0,Graduate,No,3600,0.0,80,360,1,Urban,N
207,Female,No,0,Graduate,No,3244,0.0,80,360,1,Urban,Y
278,Male,Yes,0,Graduate,No,3103,1300.0,80,360,1,Urban,Y
422,Female,No,0,Not Graduate,No,2720,0.0,80,120,0,Urban,N
487,Male,No,2,Graduate,No,3547,0.0,80,360,0,Rural,N
547,Male,No,0,Not Graduate,No,3358,0.0,80,36,1,Semiurban,N
73,Male,No,0,Graduate,No,3500,0.0,81,300,1,Semiurban,Y
93,Male,Yes,2,Not Graduate,No,3273,1820.0,81,360,1,Urban,Y
124,Male,Yes,2,Graduate,No,2957,0.0,81,360,1,Semiurban,Y
173,Male,Yes,4,Not Graduate,No,3522,0.0,81,180,1,Rural,N
361,Female,No,1,Graduate,No,4723,0.0,81,360,1,Semiurban,N
427,Female,No,1,Not Graduate,No,4606,0.0,81,360,1,Rural,N
200,Male,No,0,Graduate,Yes,11000,0.0,83,360,1,Urban,N
